ss	Messstelle	Kommentar	Minimum	Zeitpunkt Minimum	Mittelwert	Maximimum	Zeitpunkt Maximum	Std-Abweichung	MKT	Einheit
1	ttamb	"Ambient air	---"	38,6	28.04.2016 08:30	39,3787	39,9	28.04.2016 09:14	0,267056	39,3814	�C
2	"V22	CPU1"	"tcase	"	59,7	28.04.2016 09:23	62,7252	66,8	28.04.2016 08:44	1,74785	62,8528	�C
3	"68	CPU2"	"tcase	"	60,1	28.04.2016 09:47	63,3491	68,8	28.04.2016 09:15	2,16587	63,551	�C
4	"243	Memory"	"DIMM 1A DRAM	85"	46,9	28.04.2016 08:20	48,4684	53,7	28.04.2016 09:46	1,80386	48,6268	�C
5	"A25	Memory"	"DIMM 1G DRAM	85"	45,8	28.04.2016 09:46	47,9263	52,6	28.04.2016 09:26	1,26047	48,0015	�C
6	"H82	RAID-ctrl SL2"	"Slot2 D3216 heat sink	"	66,7	28.04.2016 08:59	67,0218	67,3	28.04.2016 08:25	0,148997	67,0227	�C
7	"762	SB"	"161N10 (DDR ABC VR)	105"	46,4	28.04.2016 08:57	46,792	47,3	28.04.2016 08:47	0,171646	46,7934	�C
8	"3	SB"	"161L10 (DDR ABC VR)	100"	43,8	28.04.2016 08:28	44,0562	44,6	28.04.2016 09:15	0,140204	44,0572	�C
9	"U27	SB"	"121N10 (CORE_CPU0_VR)	105"	51,9	28.04.2016 09:20	52,9449	54,4	28.04.2016 08:44	0,630422	52,9624	�C
10	"774	SB"	"121L10 (CORE_CPU0_VR)	100"	46,5	28.04.2016 08:57	46,9489	47,6	28.04.2016 08:44	0,223477	46,9511	�C
11	"F5	SB"	"345C51 (C-100U)	85"	57,9	28.04.2016 09:04	58,6307	59,6	28.04.2016 08:46	0,393069	58,6372	�C
12	"H8	SB"	"345N00 (P1V05P_STBY_PCH)	100"	61,3	28.04.2016 09:06	62,0718	63	28.04.2016 08:46	0,39874	62,0784	�C
13	"30	SB"	"345L50 (P1V05P_STBY_PCH)	85"	60,5	28.04.2016 09:07	61,3777	62,5	28.04.2016 08:46	0,453902	61,3863	�C
